name,format,size_bytes,sha256,fault_id,source_split,run_id
d10_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,3a278be79d8d111fc60be3cfb4f961c28e2dc632f17eb519886aa0f95864ffc6,10,braatz_test,braatz_te_fault10
d11.dat,text/plain; space-delimited .dat (Braatz TEP),399840,8294734d6f6e8f6b8643b9dc72f38ce40afd868d30dee9368a0d26b963a0af9f,11,braatz_train,braatz_tr_fault11
d11_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,6d60a4c932d918e1ab26ae5d16320936a665f3aad3f05482d23f5c4550b9f29a,11,braatz_test,braatz_te_fault11
d12.dat,text/plain; space-delimited .dat (Braatz TEP),399840,62fcb3c71c0eda8eaaaf707f35296e60b17baaf9a9aef588687532cf4c560d38,12,braatz_train,braatz_tr_fault12
d12_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,2180fcecb01d1b110b429ba2969d6b18dcc625599e3640e54f69afa32dccbe50,12,braatz_test,braatz_te_fault12
d13.dat,text/plain; space-delimited .dat (Braatz TEP),399840,f755d4ab6dc1d30e36c2e4604eeb0baff4b91032f487398b97fb1220eda861dd,13,braatz_train,braatz_tr_fault13
d13_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,2e34e0c427d6e41d77d6cae76550b7e95004f9f13bc093278ecf5c282a1c9f03,13,braatz_test,braatz_te_fault13
d14.dat,text/plain; space-delimited .dat (Braatz TEP),399840,29fda7d5cae58cb7240e569e2d2d436371d077d282187d9205c7dc01df8755af,14,braatz_train,braatz_tr_fault14
d14_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,e8976d056c0769cebbcec3bcba89d2468040ccae7acbea55ebc3b2e56b217396,14,braatz_test,braatz_te_fault14
d15.dat,text/plain; space-delimited .dat (Braatz TEP),399840,4c82fe0864cce2521e91a2c3e59d8630627c5e633cffe83f5e34ebc9901b5bca,15,braatz_train,braatz_tr_fault15
d15_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,a7242b956837bec8ca7f224d01805247f2aea6ea868eaa064e068b5c0761b1e5,15,braatz_test,braatz_te_fault15
d16.dat,text/plain; space-delimited .dat (Braatz TEP),399840,ca1dfc5e31292052e83dcf6b4f60a73da197eb8a47e65d908ed7ac3cbcccb007,16,braatz_train,braatz_tr_fault16
d16_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,8381d7371aac49b498e7bf93149b77a0a6bbeffe73520881dcbe8ae96277244d,16,braatz_test,braatz_te_fault16
d17.dat,text/plain; space-delimited .dat (Braatz TEP),399840,596aad6421a64d257bfa098cd5c4664d46dc49d88d1bad86cbc9518e6cd69e42,17,braatz_train,braatz_tr_fault17
d17_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,27d2d72052064e3cbb7a45df8073f15bb83b77403f532616e73c8869b043e7c9,17,braatz_test,braatz_te_fault17
d18.dat,text/plain; space-delimited .dat (Braatz TEP),399840,b4d182c070036104cf150bc33f7aa879805f19943eb298bc05bdc8647dc70291,18,braatz_train,braatz_tr_fault18
d18_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,1db5b93a7daa58ed1b641845b58ad818546ced7f3de866c086da18a7ebef5041,18,braatz_test,braatz_te_fault18
d19.dat,text/plain; space-delimited .dat (Braatz TEP),399840,ee3d2a50285cb3ba5e52ec05ea7cb39dc2b574bec592af9d44c192be132aeea6,19,braatz_train,braatz_tr_fault19
d19_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,c24dd77f787f89347273addc8a453d79f0b99edd64d43be11a5e0907bd515c5f,19,braatz_test,braatz_te_fault19
d20.dat,text/plain; space-delimited .dat (Braatz TEP),399840,acdfe6c256fa6de74a811d6c7df1b710a9f0ed60f48242be92f3fa30db3df6b3,20,braatz_train,braatz_tr_fault20
d20_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,e54035eda95311f13dd095f87607d97a89b7541afa2a3f68af098f33a5e2e6e5,20,braatz_test,braatz_te_fault20
d21.dat,text/plain; space-delimited .dat (Braatz TEP),399840,f34a9fefffef04ef1f49b3fb74e3def0010cda27a8577d814dd50604e2f8dc09,21,braatz_train,braatz_tr_fault21
d21_te.dat,text/plain; space-delimited .dat (Braatz TEP),799680,b6823aa09638cd59cb168bc24f991b6d4d557d8aea62b0b2a87ee67c21ba5a83,21,braatz_test,braatz_te_fault21
